id,slug,title,startDate,endDate,location,category,group,status,description,registrationUrl,programUrl,resultsUrl,featured
event-soiree-gym-2025,soiree-de-gym-2025,Soirée de Gym,2025-11-28,2025-11-29,Grande salle de Gimel,Manifestation,Tous,finished,"Soirée de gym avec portes ouvertes, disco familiale et bar.",,,/documents/resultats-exemple.pdf,false
event-loto-2026,loto-2027,Loto,2027-01-18,2027-01-18,Grande salle de Gimel,Manifestation,Tous,upcoming,"Loto de la Gym de Gimel à la grande salle.",,,,false
event-ag-2026,assemblee-generale-2027,Assemblée Générale,2027-01-27,2027-01-27,Restaurant Pizzeria de la Gare d'Allaman,Assemblée,Membres,upcoming,"Assemblée générale annuelle à 19h00.",,,,false
